delta_group,comparison,n_date_a,n_date_b,mean_date_a_h,mean_date_b_h,mean_diff_h_(b-a),sd_date_a_h,sd_date_b_h,sd_diff_indep_h,p_adjusted,sig
delta_2c_4c,2024-03-04 vs 2024-03-20,37,24,19.027027027027028,13.75,-5.277027027027028,10.673139927683694,1.9392961520142795,10.847893135587817,2.0894082735392996e-05,***
delta_2c_4c,2024-03-04 vs 2025-06-12,37,36,19.027027027027028,15.061111111111112,-3.9659159159159163,10.673139927683694,2.19079604290023,10.895664422948387,0.005316781046728301,**
delta_4c_bean,2024-03-04 vs 2025-06-12,35,35,106.2,121.52857142857142,15.328571428571422,10.648943609579307,12.761029172688954,16.620585595767032,5.416702788529904e-07,***
delta_4c_bean,2024-03-20 vs 2025-06-12,24,35,108.95833333333333,121.52857142857142,12.570238095238096,10.058434343836785,12.761029172688954,16.248568152163248,0.00019655722322098335,***
