stage,comparison,n_60s_pulsed,n_120s_pulsed,dunn_z,p_raw,p_holm,significant_0.05,sig
2-cell,60s pulsed vs 120s pulsed,34,35,1.536517826959852,0.12441142897987278,0.49754938433584645,False,ns
4-cell,60s pulsed vs 120s pulsed,34,35,1.536616106144239,0.12438734608396161,0.49754938433584645,False,ns
Bean,60s pulsed vs 120s pulsed,34,35,0.21005736262524044,0.8336229027076432,1.0,False,ns
Motion,60s pulsed vs 120s pulsed,34,35,0.31808395758554214,0.7504212521654557,1.0,False,ns
