delta_group,n_2024-03-04,n_2024-03-20,n_2025-06-12,normality_p_2024-03-04,normality_p_2024-03-20,normality_p_2025-06-12,all_groups_normal,selected_test,test_statistic,p_value,significant_0.05,sig
delta_2c_4c,37,24,36,2.5230408037751016e-09,0.038063013365624725,0.6222822308392768,False,Kruskal-Wallis,21.506026432100867,2.1380885926810843e-05,True,***
delta_4c_bean,35,24,35,0.3752668644137233,0.540970805244557,0.35413514215246233,True,ANOVA,17.634503858227735,3.3680646996142894e-07,True,***
delta_bean_move,35,24,35,0.011572799599008851,0.04673183118460287,0.17752625346092005,False,Kruskal-Wallis,3.7703762327196255,0.15180050058573402,False,ns
