delta_group,all_groups_normal,selected_test,test_statistic,p_value,significant_0.05,sig,n_cw_30s,normality_p_cw_30s,n_pulsed_30s,normality_p_pulsed_30s,n_cw_60s,normality_p_cw_60s,n_pulsed_60s,normality_p_pulsed_60s,n_cw_120s,normality_p_cw_120s,n_pulsed_120s,normality_p_pulsed_120s,n_pooled_control,normality_p_pooled_control
delta_2c_4c,False,Kruskal-Wallis,35.09831600520165,4.124547549418311e-06,True,***,37,0.00037231344661675246,39,0.12626786363954237,36,0.15095233064798194,34,0.002643535214013398,13,0.5567641858958712,35,0.013159487986617778,93,2.3959669470004393e-10
delta_4c_bean,False,Kruskal-Wallis,33.81560487549465,7.301993452545096e-06,True,***,37,0.010469777941476004,39,0.020809912199069164,36,0.004655554665845878,34,0.26051484748648995,13,0.5660341698377587,35,0.01657637084087562,93,0.7694534470987658
delta_bean_move,False,Kruskal-Wallis,51.52300509014549,2.3255119386807004e-09,True,***,37,0.7273240521355144,39,6.052097303266602e-05,36,0.021883291331758183,34,8.37044202941174e-06,13,0.8558558698552464,35,0.0022080176826803476,93,3.8098872301411557e-06
