delta_group,comparison,n_treatment,n_pooled_control,median_treatment_h,median_pooled_control_h,median_diff_h_(treatment-control),mean_treatment_h,mean_pooled_control_h,mean_diff_h_(treatment-control),sd_treatment_h,sd_pooled_control_h,sd_diff_indep_h,p_adjusted,sig
delta_2c_4c,pulsed_120s vs pooled_control,35,93,16.5,15.0,1.5,17.502857142857142,15.533333333333335,1.9695238095238068,3.1356100555024486,3.902071170582343,5.005817599599283,0.002731162967183442,**
delta_2c_4c,pulsed_60s vs pooled_control,34,93,18.200000000000003,15.0,3.200000000000003,19.03235294117647,15.533333333333335,3.4990196078431346,4.330982153866754,3.902071170582343,5.829542506698288,4.538128364523585e-06,***
delta_4c_bean,pulsed_120s vs pooled_control,35,93,123.0,111.0,12.0,128.33142857142855,112.30645161290325,16.0249769585253,23.726725703413905,12.95759644958704,27.03436365730462,0.0024969101177490446,**
delta_bean_move,cw_120s vs pooled_control,13,93,30.0,21.0,9.0,29.653846153846153,22.247311827956988,7.406534325889165,4.875724798190759,5.45197593613803,7.314146150844982,1.616245341187808e-05,***
delta_bean_move,pulsed_120s vs pooled_control,35,93,27.099999999999994,21.0,6.099999999999994,28.111428571428572,22.247311827956988,5.864116743471584,7.75828860102579,5.45197593613803,9.482356438408909,2.2765213024279034e-06,***
delta_bean_move,pulsed_30s vs pooled_control,39,93,25.099999999999994,21.0,4.099999999999994,25.958974358974363,22.247311827956988,3.7116625310173745,6.221554973541495,5.45197593613803,8.272350808387364,0.0006237687261176144,***
delta_bean_move,pulsed_60s vs pooled_control,34,93,25.299999999999997,21.0,4.299999999999997,27.832352941176474,22.247311827956988,5.585041113219486,8.23078922495268,5.45197593613803,9.872686203552977,2.6505337399263216e-05,***
