group,group_display,start_date,egg_uid,well_id,outcome,delta_2c_4c,delta_4c_bean,delta_bean_move
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,590,7,l3_reached,13.599999999999994,110.2,24.599999999999994
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,591,7,l3_reached,17.89999999999999,93.0,20.700000000000017
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,592,8,l3_reached,15.199999999999989,121.20000000000002,19.5
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,593,8,l3_reached,17.900000000000006,123.0,12.900000000000006
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,594,8,l3_reached,15.200000000000003,119.6,32.80000000000001
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,595,9,l3_reached,14.400000000000006,102.4,32.599999999999994
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,596,9,l3_reached,16.400000000000006,126.8,55.0
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,597,9,l3_reached,20.599999999999994,135.0,22.69999999999999
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,598,10,l3_reached,16.099999999999994,114.7,29.900000000000006
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,599,10,l3_reached,18.099999999999994,117.1,30.400000000000006
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,600,10,l3_reached,19.700000000000003,106.10000000000001,30.099999999999994
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,601,11,l3_reached,13.0,123.0,27.099999999999994
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,602,11,l3_reached,19.0,112.89999999999999,33.30000000000001
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,603,11,l3_reached,20.5,146.8,30.600000000000023
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,604,12,l3_reached,15.299999999999997,96.69999999999999,18.700000000000017
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,605,12,l3_reached,19.30000000000001,150.6,32.39999999999998
800nm_pulsed_120s,800nm pulsed 120s,2024-07-17,606,12,l3_reached,13.5,140.4,25.400000000000006
pooled_control,Pooled control,2024-03-04,383,1,l3_reached,18.0,103.0,20.0
pooled_control,Pooled control,2024-03-04,384,1,l3_reached,18.0,109.0,22.0
pooled_control,Pooled control,2024-03-04,385,2,l3_reached,16.0,110.0,20.0
pooled_control,Pooled control,2024-03-04,386,2,l3_reached,15.0,102.0,21.0
pooled_control,Pooled control,2024-03-04,387,2,l3_reached,16.0,104.0,25.0
pooled_control,Pooled control,2024-03-04,389,3,l3_reached,9.0,127.0,21.0
pooled_control,Pooled control,2024-03-04,390,3,l3_reached,19.0,115.0,7.0
pooled_control,Pooled control,2024-03-04,391,4,l3_reached,21.0,101.0,36.0
pooled_control,Pooled control,2024-03-04,392,4,l3_reached,18.0,91.0,36.0
pooled_control,Pooled control,2024-03-04,394,5,l3_reached,16.0,107.0,14.0
pooled_control,Pooled control,2024-03-04,395,5,l3_reached,15.0,118.0,25.0
pooled_control,Pooled control,2024-03-04,396,6,l3_reached,20.0,105.0,22.0
pooled_control,Pooled control,2024-03-04,397,6,l3_reached,17.0,94.0,18.0
pooled_control,Pooled control,2024-03-04,398,6,l3_reached,16.0,115.0,21.0
pooled_control,Pooled control,2024-03-04,399,7,l3_reached,16.0,103.0,33.0
pooled_control,Pooled control,2024-03-04,400,7,l3_reached,16.0,101.0,16.0
pooled_control,Pooled control,2024-03-04,401,8,l3_reached,17.0,105.0,20.0
pooled_control,Pooled control,2024-03-04,402,8,l3_reached,14.0,94.0,20.0
pooled_control,Pooled control,2024-03-04,403,9,l3_reached,17.0,85.0,23.0
pooled_control,Pooled control,2024-03-04,404,9,l3_reached,26.0,102.0,19.0
pooled_control,Pooled control,2024-03-04,405,9,l3_reached,17.0,116.0,13.0
pooled_control,Pooled control,2024-03-04,406,9,l3_reached,13.0,105.0,21.0
pooled_control,Pooled control,2024-03-04,407,9,l3_reached,14.0,107.0,18.0
pooled_control,Pooled control,2024-03-04,408,9,l3_reached,12.0,83.0,35.0
pooled_control,Pooled control,2024-03-04,409,10,l3_reached,16.0,118.0,20.0
pooled_control,Pooled control,2024-03-04,410,10,l3_reached,15.0,106.0,23.0
pooled_control,Pooled control,2024-03-04,411,10,l3_reached,6.0,87.0,45.0
pooled_control,Pooled control,2024-03-04,412,10,l3_reached,40.0,123.0,25.0
pooled_control,Pooled control,2024-03-04,413,11,l3_reached,16.0,110.0,24.0
pooled_control,Pooled control,2024-03-04,414,11,l3_reached,19.0,120.0,20.0
pooled_control,Pooled control,2024-03-04,415,11,l3_reached,23.0,110.0,22.0
pooled_control,Pooled control,2024-03-04,416,12,l3_reached,22.0,103.0,29.0
pooled_control,Pooled control,2024-03-04,417,12,l3_reached,17.0,106.0,15.0
pooled_control,Pooled control,2024-03-04,418,12,l3_reached,16.0,107.0,30.0
pooled_control,Pooled control,2024-03-04,419,12,l3_reached,16.0,125.0,22.0
pooled_control,Pooled control,2024-03-20,420,1,l3_reached,16.0,109.0,19.0
pooled_control,Pooled control,2024-03-20,421,1,l3_reached,14.0,119.0,27.0
pooled_control,Pooled control,2024-03-20,422,2,l3_reached,13.0,107.0,19.0
pooled_control,Pooled control,2024-03-20,423,2,l3_reached,12.0,102.0,18.0
pooled_control,Pooled control,2024-03-20,424,3,l3_reached,13.0,104.0,18.0
pooled_control,Pooled control,2024-03-20,425,3,l3_reached,13.0,106.0,25.0
pooled_control,Pooled control,2024-03-20,426,4,l3_reached,15.0,131.0,27.0
pooled_control,Pooled control,2024-03-20,427,4,l3_reached,15.0,115.0,23.0
pooled_control,Pooled control,2024-03-20,428,5,l3_reached,15.0,127.0,27.0
pooled_control,Pooled control,2024-03-20,429,5,l3_reached,16.0,115.0,21.0
pooled_control,Pooled control,2024-03-20,430,6,l3_reached,14.0,110.0,28.0
pooled_control,Pooled control,2024-03-20,431,6,l3_reached,12.0,125.0,20.0
pooled_control,Pooled control,2024-03-20,432,7,l3_reached,12.0,93.0,18.0
pooled_control,Pooled control,2024-03-20,433,7,l3_reached,17.0,93.0,35.0
pooled_control,Pooled control,2024-03-20,434,8,l3_reached,13.0,96.0,24.0
pooled_control,Pooled control,2024-03-20,435,8,l3_reached,16.0,108.0,21.0
pooled_control,Pooled control,2024-03-20,436,9,l3_reached,12.0,109.0,32.0
pooled_control,Pooled control,2024-03-20,437,9,l3_reached,16.0,111.0,21.0
pooled_control,Pooled control,2024-03-20,438,10,l3_reached,14.0,114.0,28.0
pooled_control,Pooled control,2024-03-20,439,10,l3_reached,13.0,114.0,20.0
pooled_control,Pooled control,2024-03-20,440,11,l3_reached,13.0,101.0,19.0
pooled_control,Pooled control,2024-03-20,441,11,l3_reached,15.0,96.0,27.0
pooled_control,Pooled control,2024-03-20,442,12,l3_reached,8.0,106.0,24.0
pooled_control,Pooled control,2024-03-20,443,12,l3_reached,13.0,104.0,22.0
pooled_control,Pooled control,2025-06-12,831,1,l3_reached,19.1,115.30000000000001,18.19999999999999
pooled_control,Pooled control,2025-06-12,832,1,l3_reached,14.3,97.5,18.900000000000006
pooled_control,Pooled control,2025-06-12,833,1,l3_reached,16.5,128.5,17.80000000000001
pooled_control,Pooled control,2025-06-12,834,2,l3_reached,15.099999999999998,120.29999999999998,18.30000000000001
pooled_control,Pooled control,2025-06-12,835,2,l3_reached,14.600000000000001,116.3,20.19999999999999
pooled_control,Pooled control,2025-06-12,836,2,l3_reached,13.0,115.20000000000002,18.19999999999999
pooled_control,Pooled control,2025-06-12,837,3,l3_reached,17.200000000000003,120.10000000000001,16.69999999999999
pooled_control,Pooled control,2025-06-12,838,3,l3_reached,20.800000000000004,128.10000000000002,22.69999999999999
pooled_control,Pooled control,2025-06-12,839,3,l3_reached,14.399999999999999,118.6,23.0
pooled_control,Pooled control,2025-06-12,841,4,l3_reached,13.5,98.69999999999999,26.80000000000001
pooled_control,Pooled control,2025-06-12,842,4,l3_reached,14.799999999999997,125.2,23.0
pooled_control,Pooled control,2025-06-12,843,5,l3_reached,14.900000000000002,138.4,19.0
pooled_control,Pooled control,2025-06-12,844,5,l3_reached,14.599999999999998,118.1,21.0
pooled_control,Pooled control,2025-06-12,845,5,l3_reached,16.999999999999996,131.10000000000002,24.599999999999994
pooled_control,Pooled control,2025-06-12,846,6,l3_reached,17.700000000000003,125.3,20.69999999999999
pooled_control,Pooled control,2025-06-12,847,6,l3_reached,11.3,123.5,22.30000000000001
pooled_control,Pooled control,2025-06-12,848,6,l3_reached,14.800000000000004,131.3,25.0
pooled_control,Pooled control,2025-06-12,849,7,l3_reached,14.299999999999997,98.6,18.0
pooled_control,Pooled control,2025-06-12,850,7,l3_reached,15.900000000000002,123.8,20.0
pooled_control,Pooled control,2025-06-12,851,7,l3_reached,17.900000000000006,153.6,23.0
pooled_control,Pooled control,2025-06-12,852,8,l3_reached,15.0,119.5,20.0
pooled_control,Pooled control,2025-06-12,853,8,l3_reached,18.700000000000003,129.3,24.0
pooled_control,Pooled control,2025-06-12,854,8,l3_reached,13.099999999999998,108.2,20.0
pooled_control,Pooled control,2025-06-12,855,9,l3_reached,14.8,129.9,18.5
pooled_control,Pooled control,2025-06-12,856,9,l3_reached,12.600000000000001,114.4,26.0
pooled_control,Pooled control,2025-06-12,857,9,l3_reached,15.3,136.7,23.30000000000001
pooled_control,Pooled control,2025-06-12,858,10,l3_reached,11.500000000000004,96.49999999999999,17.80000000000001
pooled_control,Pooled control,2025-06-12,859,10,l3_reached,13.999999999999996,123.7,21.0
pooled_control,Pooled control,2025-06-12,860,10,l3_reached,14.700000000000003,122.4,24.0
pooled_control,Pooled control,2025-06-12,861,11,l3_reached,10.899999999999999,117.0,19.5
pooled_control,Pooled control,2025-06-12,862,11,l3_reached,15.200000000000003,112.3,19.5
pooled_control,Pooled control,2025-06-12,864,12,l3_reached,16.6,141.5,16.0
pooled_control,Pooled control,2025-06-12,865,12,l3_reached,12.599999999999998,116.7,21.0
