stage,omnibus_test,omnibus_p,omnibus_significant_0.05,pairwise_test,comparison,statistic,p_raw,p_holm,significant_0.05,sig,n_pooled_control,normality_p_pooled_control,n_800nm_pulsed_120s,normality_p_800nm_pulsed_120s,n_shg_10mW_2s,normality_p_shg_10mW_2s,n_uvc_6W_2s,normality_p_uvc_6W_2s,n_uvc_6W_5s,normality_p_uvc_6W_5s
Bean,Kruskal-Wallis,1.4615818528543787e-23,True,Mann-Whitney U,800nm pulsed 120s vs 400nm SHG 10mW 2s,113.0,0.0003312510624001754,0.0013250042496007015,True,**,93,0.017839186486735027,35,0.14317733719877643,17,0.02210221514155992,31,1.1379000633956672e-05,27,0.004265742906964666
Bean,Kruskal-Wallis,1.4615818528543787e-23,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 5s,117.0,4.6485100941118144e-07,3.25395706587827e-06,True,***,93,0.017839186486735027,35,0.14317733719877643,17,0.02210221514155992,31,1.1379000633956672e-05,27,0.004265742906964666
Bean,Kruskal-Wallis,1.4615818528543787e-23,True,Mann-Whitney U,Pooled control vs 400nm SHG 10mW 2s,62.5,1.7164808762174675e-09,1.373184700973974e-08,True,***,93,0.017839186486735027,35,0.14317733719877643,17,0.02210221514155992,31,1.1379000633956672e-05,27,0.004265742906964666
Bean,Kruskal-Wallis,1.4615818528543787e-23,True,Mann-Whitney U,Pooled control vs 800nm pulsed 120s,716.0,1.0958887668092043e-06,6.5753326008552255e-06,True,***,93,0.017839186486735027,35,0.14317733719877643,17,0.02210221514155992,31,1.1379000633956672e-05,27,0.004265742906964666
Bean,Kruskal-Wallis,1.4615818528543787e-23,True,Mann-Whitney U,Pooled control vs UVC 6W 2s,261.5,9.643316346599961e-12,8.678984711939966e-11,True,***,93,0.017839186486735027,35,0.14317733719877643,17,0.02210221514155992,31,1.1379000633956672e-05,27,0.004265742906964666
Bean,Kruskal-Wallis,1.4615818528543787e-23,True,Mann-Whitney U,Pooled control vs UVC 6W 5s,50.0,3.470688556738018e-14,3.470688556738018e-13,True,***,93,0.017839186486735027,35,0.14317733719877643,17,0.02210221514155992,31,1.1379000633956672e-05,27,0.004265742906964666
Bean,Kruskal-Wallis,1.4615818528543787e-23,True,Mann-Whitney U,UVC 6W 2s vs UVC 6W 5s,165.0,7.997497224449749e-05,0.00039987486122248746,True,***,93,0.017839186486735027,35,0.14317733719877643,17,0.02210221514155992,31,1.1379000633956672e-05,27,0.004265742906964666
Motion,Kruskal-Wallis,1.4928458303668915e-24,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 2s,409.0,0.0003137868781607803,0.0009413606344823408,True,***,93,0.046235071472477775,35,0.12375265569795764,16,0.02099295056388084,31,6.291663459366714e-06,27,0.0027997194245889282
Motion,Kruskal-Wallis,1.4928458303668915e-24,True,Mann-Whitney U,800nm pulsed 120s vs 400nm SHG 10mW 2s,75.0,3.3026380254761115e-05,0.00013210552101904446,True,***,93,0.046235071472477775,35,0.12375265569795764,16,0.02099295056388084,31,6.291663459366714e-06,27,0.0027997194245889282
Motion,Kruskal-Wallis,1.4928458303668915e-24,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 5s,136.0,1.8375219820228857e-06,1.1025131892137315e-05,True,***,93,0.046235071472477775,35,0.12375265569795764,16,0.02099295056388084,31,6.291663459366714e-06,27,0.0027997194245889282
Motion,Kruskal-Wallis,1.4928458303668915e-24,True,Mann-Whitney U,Pooled control vs 400nm SHG 10mW 2s,18.0,5.189995467860994e-10,4.151996374288795e-09,True,***,93,0.046235071472477775,35,0.12375265569795764,16,0.02099295056388084,31,6.291663459366714e-06,27,0.0027997194245889282
Motion,Kruskal-Wallis,1.4928458303668915e-24,True,Mann-Whitney U,Pooled control vs 800nm pulsed 120s,625.0,8.448661123881513e-08,5.914062786717059e-07,True,***,93,0.046235071472477775,35,0.12375265569795764,16,0.02099295056388084,31,6.291663459366714e-06,27,0.0027997194245889282
Motion,Kruskal-Wallis,1.4928458303668915e-24,True,Mann-Whitney U,Pooled control vs UVC 6W 2s,300.0,4.547001709212234e-11,4.0923015382910104e-10,True,***,93,0.046235071472477775,35,0.12375265569795764,16,0.02099295056388084,31,6.291663459366714e-06,27,0.0027997194245889282
Motion,Kruskal-Wallis,1.4928458303668915e-24,True,Mann-Whitney U,Pooled control vs UVC 6W 5s,35.5,1.7849683085214375e-14,1.7849683085214376e-13,True,***,93,0.046235071472477775,35,0.12375265569795764,16,0.02099295056388084,31,6.291663459366714e-06,27,0.0027997194245889282
Motion,Kruskal-Wallis,1.4928458303668915e-24,True,Mann-Whitney U,UVC 6W 2s vs UVC 6W 5s,146.0,2.231473782818769e-05,0.00011157368914093844,True,***,93,0.046235071472477775,35,0.12375265569795764,16,0.02099295056388084,31,6.291663459366714e-06,27,0.0027997194245889282
