metric,n_groups,pearson_r,pearson_p,spearman_rho,spearman_p
median_dt_motion_stop_h,5,-0.9521621973177543,0.012469515229268638,-0.9999999999999999,1.4042654220543602e-24
iqr_dt_motion_stop_h,5,-0.7141641121789808,0.17536820357976401,-0.7999999999999999,0.10408803866182788
