group,n_stopped_in_egg,shapiro_W,shapiro_p,normal_by_shapiro_p_gt_0_05,note
Control (pooled),6,0.7293070561319739,0.012402983902815383,False,
UVC-6W-600s,39,0.23592158897864401,5.400800712315133e-13,False,
UVC-6W-300s,35,0.9639620859976539,0.2996098484106189,True,
UVC-6W-180s,35,0.9758785583089051,0.6226783296931868,True,
UVC-6W-120s,36,0.9666207624210023,0.3405573380072874,True,
UVC-6W-60s,33,0.786364968864849,1.7925532777408496e-05,False,
UVC-6W-30s,37,0.978224276095425,0.669769432007052,True,
