egg_uid,analysis_group,dt_motion_stop_h,flags,death_mode
740,UVC-6W-60s,174.5,,necrotic_like
742,UVC-6W-60s,211.5,exit_egg,necrotic_like
743,UVC-6W-60s,296.5,,necrotic_like
744,UVC-6W-60s,116.5,,necrotic_like
745,UVC-6W-60s,295.5,,necrotic_like
746,UVC-6W-60s,267.5,,necrotic_like
748,UVC-6W-60s,77.5,,necrotic_like
749,UVC-6W-60s,255.5,,necrotic_like
750,UVC-6W-60s,19.5,,necrotic_like
751,UVC-6W-60s,249.5,,necrotic_like
752,UVC-6W-60s,265.5,,necrotic_like
753,UVC-6W-60s,309.5,,necrotic_like
754,UVC-6W-60s,284.5,,necrotic_like
755,UVC-6W-60s,293.5,,necrotic_like
756,UVC-6W-60s,276.5,,necrotic_like
757,UVC-6W-60s,314.5,,necrotic_like
758,UVC-6W-60s,282.5,,necrotic_like
759,UVC-6W-60s,329.5,,necrotic_like
760,UVC-6W-60s,241.5,,necrotic_like
761,UVC-6W-60s,249.5,,necrotic_like
762,UVC-6W-60s,289.5,,necrotic_like
763,UVC-6W-60s,299.5,,necrotic_like
764,UVC-6W-60s,224.5,,necrotic_like
765,UVC-6W-60s,289.5,,necrotic_like
767,UVC-6W-60s,235.5,,necrotic_like
768,UVC-6W-60s,314.5,,necrotic_like
769,UVC-6W-60s,318.5,,necrotic_like
770,UVC-6W-60s,268.5,,necrotic_like
771,UVC-6W-60s,259.5,,necrotic_like
772,UVC-6W-60s,239.5,,necrotic_like
773,UVC-6W-30s,289.5,,necrotic_like
774,UVC-6W-30s,286.5,,necrotic_like
775,UVC-6W-30s,289.5,,necrotic_like
776,UVC-6W-30s,329.5,exit_egg,necrotic_like
777,UVC-6W-30s,108.5,,necrotic_like
778,UVC-6W-30s,177.5,,necrotic_like
779,UVC-6W-30s,329.5,,necrotic_like
780,UVC-6W-30s,439.5,,necrotic_like
781,UVC-6W-30s,476.5,,necrotic_like
782,UVC-6W-30s,299.5,,necrotic_like
783,UVC-6W-30s,265.5,exit_egg,necrotic_like
784,UVC-6W-30s,391.5,,necrotic_like
785,UVC-6W-30s,363.5,,necrotic_like
786,UVC-6W-30s,408.5,,necrotic_like
787,UVC-6W-30s,251.5,,necrotic_like
788,UVC-6W-30s,313.5,,necrotic_like
789,UVC-6W-30s,317.5,,necrotic_like
790,UVC-6W-30s,410.5,,necrotic_like
791,UVC-6W-30s,374.5,,necrotic_like
792,UVC-6W-30s,165.5,,necrotic_like
793,UVC-6W-30s,219.5,,necrotic_like
794,UVC-6W-30s,105.5,,necrotic_like
795,UVC-6W-30s,231.5,,necrotic_like
796,UVC-6W-30s,413.5,,necrotic_like
797,UVC-6W-30s,216.5,,necrotic_like
798,UVC-6W-30s,241.5,,necrotic_like
799,UVC-6W-30s,283.5,,necrotic_like
800,UVC-6W-30s,282.5,,necrotic_like
801,UVC-6W-30s,362.5,,necrotic_like
802,UVC-6W-30s,129.5,,necrotic_like
803,UVC-6W-30s,276.5,,necrotic_like
804,UVC-6W-30s,221.5,,necrotic_like
805,UVC-6W-30s,129.5,,necrotic_like
806,UVC-6W-30s,289.5,,necrotic_like
807,UVC-6W-30s,269.5,,necrotic_like
808,UVC-6W-30s,273.5,,necrotic_like
810,UVC-6W-30s,180.5,,necrotic_like
