treatment,n_total_excluding_no_larvae,n_death_after_hatch,pct_death_after_hatch
UVC-6W-600s,39,0,0.0
UVC-6W-300s,35,0,0.0
UVC-6W-180s,36,1,2.8
UVC-6W-120s,36,0,0.0
UVC-6W-60s,36,1,2.8
UVC-6W-30s,39,2,5.1
