delta_group,comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,sd_diff_indep_h,p_holm,sig
delta_2c_4c,uvc_6W_2s vs pooled_control,31,93,17.700000000000003,15.0,-2.700000000000003,18.187096774193552,15.533333333333335,-2.6537634408602173,4.264484489007933,3.902071170582343,5.7803103184240126,0.000779770610482471,***
delta_2c_4c,uvc_6W_2s vs uvc_6W_5s,31,29,17.700000000000003,22.599999999999994,4.8999999999999915,18.187096774193552,27.589655172413792,9.40255839822024,4.264484489007933,12.13549530531897,12.862972994701032,5.305311618830174e-05,***
delta_2c_4c,uvc_6W_5s vs pooled_control,29,93,22.599999999999994,15.0,-7.599999999999994,27.589655172413792,15.533333333333335,-12.056321839080457,12.13549530531897,3.902071170582343,12.747407804165858,3.589411678310804e-11,***
delta_4c_bean,uvc_6W_2s vs pooled_control,31,93,127.0,111.0,-16.0,130.79032258064518,112.30645161290325,-18.483870967741936,19.64732984129073,12.95759644958704,23.535438717874452,5.8374679287183336e-08,***
delta_4c_bean,uvc_6W_2s vs uvc_6W_5s,31,27,127.0,145.0,18.0,130.79032258064518,146.15185185185186,15.361529271206678,19.64732984129073,22.31812596162022,29.734093501084235,0.0013945726000468958,**
delta_4c_bean,uvc_6W_5s vs pooled_control,27,93,145.0,111.0,-34.0,146.15185185185186,112.30645161290325,-33.84540023894861,22.31812596162022,12.95759644958704,25.80693806303059,8.795144856918846e-11,***
