,egg_uid,exp_label,start_date,well_#,control,system,wl_nm,regime,power_mW,irradiance_mW_cm2,exposure_s,fluence_J_cm2,t_start_h,t_2c_h,t_4c_h,t_bean_h,t_move_h,outcome,flags
,307,400-SHG-10mW-10s,2024-06-19,12,0,laser,400,SHG,10,0.003,10,0.032,40.5,NA,NA,NA,NA,leak,no_cyto_motion
,308,400-SHG-10mW-10s,2024-06-19,12,0,laser,400,SHG,10,0.003,10,0.032,40.5,NA,NA,NA,NA,leak,no_cyto_motion
,309,400-SHG-10mW-10s,2024-06-19,12,0,laser,400,SHG,10,0.003,10,0.032,40.5,NA,NA,NA,NA,leak,no_cyto_motion
,310,400-SHG-10mW-5s,2024-06-19,1,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,311,400-SHG-10mW-5s,2024-06-19,1,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,312,400-SHG-10mW-5s,2024-06-19,1,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,313,400-SHG-10mW-5s,2024-06-19,2,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,314,400-SHG-10mW-5s,2024-06-19,2,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,315,400-SHG-10mW-5s,2024-06-19,2,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,316,400-SHG-10mW-5s,2024-06-19,3,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,317,400-SHG-10mW-5s,2024-06-19,3,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,318,400-SHG-10mW-5s,2024-06-19,3,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,319,400-SHG-10mW-5s,2024-06-19,3,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,320,400-SHG-10mW-5s,2024-06-19,4,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,321,400-SHG-10mW-5s,2024-06-19,4,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,322,400-SHG-10mW-5s,2024-06-19,4,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,323,400-SHG-10mW-5s,2024-06-19,5,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,324,400-SHG-10mW-5s,2024-06-19,5,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,325,400-SHG-10mW-5s,2024-06-19,5,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,326,400-SHG-10mW-5s,2024-06-19,6,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,327,400-SHG-10mW-5s,2024-06-19,6,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,328,400-SHG-10mW-5s,2024-06-19,6,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,329,400-SHG-10mW-5s,2024-06-19,7,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,330,400-SHG-10mW-5s,2024-06-19,7,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,331,400-SHG-10mW-5s,2024-06-19,7,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,332,400-SHG-10mW-5s,2024-06-19,8,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,333,400-SHG-10mW-5s,2024-06-19,8,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,334,400-SHG-10mW-5s,2024-06-19,8,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,335,400-SHG-10mW-5s,2024-06-19,9,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,336,400-SHG-10mW-5s,2024-06-19,9,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,337,400-SHG-10mW-5s,2024-06-19,9,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,338,400-SHG-10mW-5s,2024-06-19,10,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,339,400-SHG-10mW-5s,2024-06-19,10,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,340,400-SHG-10mW-5s,2024-06-19,10,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,341,400-SHG-10mW-5s,2024-06-19,11,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,342,400-SHG-10mW-5s,2024-06-19,11,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,arrested,no_cyto_motion
,343,400-SHG-10mW-5s,2024-06-19,11,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,344,400-SHG-10mW-5s,2024-06-19,12,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,345,400-SHG-10mW-5s,2024-06-19,12,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,346,400-SHG-10mW-5s,2024-06-19,12,0,laser,400,SHG,10,0.003,5,0.016,39.5,NA,NA,NA,NA,leak,no_cyto_motion
,347,400-SHG-10mW-2s,2024-06-19,1,0,laser,400,SHG,10,0.003,2,0.006,38.5,248,NA,NA,NA,arrested,cyto_motion
,348,400-SHG-10mW-2s,2024-06-19,1,0,laser,400,SHG,10,0.003,2,0.006,38.5,107,152,291,322,L3_reached,cyto_motion
,349,400-SHG-10mW-2s,2024-06-19,1,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,350,400-SHG-10mW-2s,2024-06-19,2,0,laser,400,SHG,10,0.003,2,0.006,38.5,67,88,219,260,degenerated,cyto_motion
,351,400-SHG-10mW-2s,2024-06-19,2,0,laser,400,SHG,10,0.003,2,0.006,38.5,100,129,272,300,L3_reached,cyto_motion
,352,400-SHG-10mW-2s,2024-06-19,2,0,laser,400,SHG,10,0.003,2,0.006,38.5,76,99,219,246,L3_reached,cyto_motion
,353,400-SHG-10mW-2s,2024-06-19,3,0,laser,400,SHG,10,0.003,2,0.006,38.5,295,349,514,547,L3_reached,cyto_motion
,354,400-SHG-10mW-2s,2024-06-19,3,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,leak,cyto_motion
,355,400-SHG-10mW-2s,2024-06-19,3,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,leak,no_cyto_motion
,356,400-SHG-10mW-2s,2024-06-19,4,0,laser,400,SHG,10,0.003,2,0.006,38.5,150,193,400,450,L3_reached,cyto_motion
,357,400-SHG-10mW-2s,2024-06-19,4,0,laser,400,SHG,10,0.003,2,0.006,38.5,121,167,311,360,L3_reached,cyto_motion
,358,400-SHG-10mW-2s,2024-06-19,4,0,laser,400,SHG,10,0.003,2,0.006,38.5,93,115,231,255,L3_reached,cyto_motion
,359,400-SHG-10mW-2s,2024-06-19,5,0,laser,400,SHG,10,0.003,2,0.006,38.5,100,128,301,332,L3_reached,cyto_motion
,360,400-SHG-10mW-2s,2024-06-19,5,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,361,400-SHG-10mW-2s,2024-06-19,5,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,362,400-SHG-10mW-2s,2024-06-19,6,0,laser,400,SHG,10,0.003,2,0.006,38.5,117,154,305,313,L3_reached,cyto_motion
,363,400-SHG-10mW-2s,2024-06-19,6,0,laser,400,SHG,10,0.003,2,0.006,38.5,71,89,199,238,L3_reached,cyto_motion
,364,400-SHG-10mW-2s,2024-06-19,6,0,laser,400,SHG,10,0.003,2,0.006,38.5,89,109,224,259,L3_reached,cyto_motion
,365,400-SHG-10mW-2s,2024-06-19,7,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,366,400-SHG-10mW-2s,2024-06-19,7,0,laser,400,SHG,10,0.003,2,0.006,38.5,158,NA,NA,NA,arrested,cyto_motion
,367,400-SHG-10mW-2s,2024-06-19,7,0,laser,400,SHG,10,0.003,2,0.006,38.5,171,219,457,496,L3_reached,cyto_motion
,368,400-SHG-10mW-2s,2024-06-19,8,0,laser,400,SHG,10,0.003,2,0.006,38.5,297,468,NA,NA,arrested,cyto_motion
,369,400-SHG-10mW-2s,2024-06-19,8,0,laser,400,SHG,10,0.003,2,0.006,38.5,85,104,223,253,L3_reached,cyto_motion
,370,400-SHG-10mW-2s,2024-06-19,8,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,371,400-SHG-10mW-2s,2024-06-19,9,0,laser,400,SHG,10,0.003,2,0.006,38.5,145,NA,NA,NA,arrested,cyto_motion
,372,400-SHG-10mW-2s,2024-06-19,9,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,373,400-SHG-10mW-2s,2024-06-19,9,0,laser,400,SHG,10,0.003,2,0.006,38.5,82,100,204,,L3_reached,cyto_motion
,374,400-SHG-10mW-2s,2024-06-19,10,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,375,400-SHG-10mW-2s,2024-06-19,10,0,laser,400,SHG,10,0.003,2,0.006,38.5,185,245,427,463,L3_reached,cyto_motion
,376,400-SHG-10mW-2s,2024-06-19,10,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,377,400-SHG-10mW-2s,2024-06-19,11,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,378,400-SHG-10mW-2s,2024-06-19,11,0,laser,400,SHG,10,0.003,2,0.006,38.5,84,100,228,260,L3_reached,cyto_motion
,379,400-SHG-10mW-2s,2024-06-19,11,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,380,400-SHG-10mW-2s,2024-06-19,12,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,381,400-SHG-10mW-2s,2024-06-19,12,0,laser,400,SHG,10,0.003,2,0.006,38.5,NA,NA,NA,NA,arrested,cyto_motion
,382,400-SHG-10mW-2s,2024-06-19,12,0,laser,400,SHG,10,0.003,2,0.006,38.5,160,234,458,493,L3_reached,cyto_motion
,383,400-pulsed-40mW-control,2024-03-04,1,1,NA,NA,NA,NA,NA,NA,NA,13.5,45,63,166,186,L3_reached,cyto_motion
,384,400-pulsed-40mW-control,2024-03-04,1,1,NA,NA,NA,NA,NA,NA,NA,13.5,43,61,170,192,L3_reached,cyto_motion
,385,400-pulsed-40mW-control,2024-03-04,2,1,NA,NA,NA,NA,NA,NA,NA,13.5,44,60,170,190,L3_reached,cyto_motion
,386,400-pulsed-40mW-control,2024-03-04,2,1,NA,NA,NA,NA,NA,NA,NA,13.5,51,66,168,189,L3_reached,cyto_motion
,387,400-pulsed-40mW-control,2024-03-04,2,1,NA,NA,NA,NA,NA,NA,NA,13.5,52,68,172,197,L3_reached,cyto_motion
,388,400-pulsed-40mW-control,2024-03-04,3,1,NA,NA,NA,NA,NA,NA,NA,13.5,37,66,NA,NA,degenerated,cyto_motion
,389,400-pulsed-40mW-control,2024-03-04,3,1,NA,NA,NA,NA,NA,NA,NA,13.5,40,49,176,197,L3_reached,cyto_motion
,390,400-pulsed-40mW-control,2024-03-04,3,1,NA,NA,NA,NA,NA,NA,NA,13.5,42,61,176,183,L3_reached,cyto_motion
,391,400-pulsed-40mW-control,2024-03-04,4,1,NA,NA,NA,NA,NA,NA,NA,13.5,48,69,170,206,L3_reached,cyto_motion
,392,400-pulsed-40mW-control,2024-03-04,4,1,NA,NA,NA,NA,NA,NA,NA,13.5,61,79,170,206,L3_reached,cyto_motion
,393,400-pulsed-40mW-control,2024-03-04,4,1,NA,NA,NA,NA,NA,NA,NA,13.5,86,159,NA,NA,degenerated,cyto_motion
,394,400-pulsed-40mW-control,2024-03-04,5,1,NA,NA,NA,NA,NA,NA,NA,13.5,46,62,169,183,L3_reached,cyto_motion
,395,400-pulsed-40mW-control,2024-03-04,5,1,NA,NA,NA,NA,NA,NA,NA,13.5,42,57,175,200,L3_reached,cyto_motion
,396,400-pulsed-40mW-control,2024-03-04,6,1,NA,NA,NA,NA,NA,NA,NA,13.5,35,55,160,182,L3_reached,cyto_motion
,397,400-pulsed-40mW-control,2024-03-04,6,1,NA,NA,NA,NA,NA,NA,NA,13.5,54,71,165,183,L3_reached,cyto_motion
,398,400-pulsed-40mW-control,2024-03-04,6,1,NA,NA,NA,NA,NA,NA,NA,13.5,54,70,185,206,L3_reached,cyto_motion
,399,400-pulsed-40mW-control,2024-03-04,7,1,NA,NA,NA,NA,NA,NA,NA,13.5,46,62,165,198,L3_reached,cyto_motion
,400,400-pulsed-40mW-control,2024-03-04,7,1,NA,NA,NA,NA,NA,NA,NA,13.5,42,58,159,175,L3_reached,cyto_motion
,401,400-pulsed-40mW-control,2024-03-04,8,1,NA,NA,NA,NA,NA,NA,NA,13.5,48,65,170,190,L3_reached,cyto_motion
,402,400-pulsed-40mW-control,2024-03-04,8,1,NA,NA,NA,NA,NA,NA,NA,13.5,42,56,150,170,L3_reached,cyto_motion
,403,400-pulsed-40mW-control,2024-03-04,9,1,NA,NA,NA,NA,NA,NA,NA,13.5,50,67,152,175,L3_reached,cyto_motion
,404,400-pulsed-40mW-control,2024-03-04,9,1,NA,NA,NA,NA,NA,NA,NA,13.5,44,70,172,191,L3_reached,cyto_motion
,405,400-pulsed-40mW-control,2024-03-04,9,1,NA,NA,NA,NA,NA,NA,NA,13.5,39,56,172,185,L3_reached,cyto_motion
,406,400-pulsed-40mW-control,2024-03-04,9,1,NA,NA,NA,NA,NA,NA,NA,13.5,34,47,152,173,L3_reached,cyto_motion
,407,400-pulsed-40mW-control,2024-03-04,9,1,NA,NA,NA,NA,NA,NA,NA,13.5,39,53,160,178,L3_reached,cyto_motion
,408,400-pulsed-40mW-control,2024-03-04,9,1,NA,NA,NA,NA,NA,NA,NA,13.5,40,52,135,170,L3_reached,cyto_motion
,409,400-pulsed-40mW-control,2024-03-04,10,1,NA,NA,NA,NA,NA,NA,NA,13.5,36,52,170,190,L3_reached,cyto_motion
,410,400-pulsed-40mW-control,2024-03-04,10,1,NA,NA,NA,NA,NA,NA,NA,13.5,42,57,163,186,L3_reached,cyto_motion
,411,400-pulsed-40mW-control,2024-03-04,10,1,NA,NA,NA,NA,NA,NA,NA,13.5,57,63,150,195,L3_reached,cyto_motion
,412,400-pulsed-40mW-control,2024-03-04,10,1,NA,NA,NA,NA,NA,NA,NA,13.5,42,82,205,230,L3_reached,cyto_motion
,413,400-pulsed-40mW-control,2024-03-04,11,1,NA,NA,NA,NA,NA,NA,NA,13.5,48,64,174,198,L3_reached,cyto_motion
,414,400-pulsed-40mW-control,2024-03-04,11,1,NA,NA,NA,NA,NA,NA,NA,13.5,54,73,193,213,L3_reached,cyto_motion
,415,400-pulsed-40mW-control,2024-03-04,11,1,NA,NA,NA,NA,NA,NA,NA,13.5,40,63,173,195,L3_reached,cyto_motion
,416,400-pulsed-40mW-control,2024-03-04,12,1,NA,NA,NA,NA,NA,NA,NA,13.5,45,67,170,199,L3_reached,cyto_motion
,417,400-pulsed-40mW-control,2024-03-04,12,1,NA,NA,NA,NA,NA,NA,NA,13.5,47,64,170,185,L3_reached,cyto_motion
,418,400-pulsed-40mW-control,2024-03-04,12,1,NA,NA,NA,NA,NA,NA,NA,13.5,47,63,170,200,L3_reached,cyto_motion
,419,400-pulsed-40mW-control,2024-03-04,12,1,NA,NA,NA,NA,NA,NA,NA,13.5,44,60,185,207,L3_reached,cyto_motion
,420,400-pulsed-40mW-control,2024-03-20,1,1,NA,NA,NA,NA,NA,NA,NA,5.5,38,54,163,182,L3_reached,cyto_motion
,421,400-pulsed-40mW-control,2024-03-20,1,1,NA,NA,NA,NA,NA,NA,NA,5.5,17,31,150,177,L3_reached,cyto_motion
,422,400-pulsed-40mW-control,2024-03-20,2,1,NA,NA,NA,NA,NA,NA,NA,5.5,30,43,150,169,L3_reached,cyto_motion
,423,400-pulsed-40mW-control,2024-03-20,2,1,NA,NA,NA,NA,NA,NA,NA,5.5,20,32,134,152,L3_reached,cyto_motion
,424,400-pulsed-40mW-control,2024-03-20,3,1,NA,NA,NA,NA,NA,NA,NA,5.5,25,38,142,160,L3_reached,cyto_motion
,425,400-pulsed-40mW-control,2024-03-20,3,1,NA,NA,NA,NA,NA,NA,NA,5.5,26,39,145,170,L3_reached,cyto_motion
,426,400-pulsed-40mW-control,2024-03-20,4,1,NA,NA,NA,NA,NA,NA,NA,5.5,16,31,162,189,L3_reached,cyto_motion
,427,400-pulsed-40mW-control,2024-03-20,4,1,NA,NA,NA,NA,NA,NA,NA,5.5,32,47,162,185,L3_reached,cyto_motion
,428,400-pulsed-40mW-control,2024-03-20,5,1,NA,NA,NA,NA,NA,NA,NA,5.5,26,41,168,195,L3_reached,cyto_motion
,429,400-pulsed-40mW-control,2024-03-20,5,1,NA,NA,NA,NA,NA,NA,NA,5.5,37,53,168,189,L3_reached,cyto_motion
,430,400-pulsed-40mW-control,2024-03-20,6,1,NA,NA,NA,NA,NA,NA,NA,5.5,38,52,162,190,L3_reached,cyto_motion
,431,400-pulsed-40mW-control,2024-03-20,6,1,NA,NA,NA,NA,NA,NA,NA,5.5,25,37,162,182,L3_reached,cyto_motion
,432,400-pulsed-40mW-control,2024-03-20,7,1,NA,NA,NA,NA,NA,NA,NA,5.5,25,37,130,148,L3_reached,cyto_motion
,433,400-pulsed-40mW-control,2024-03-20,7,1,NA,NA,NA,NA,NA,NA,NA,5.5,20,37,130,165,L3_reached,cyto_motion
,434,400-pulsed-40mW-control,2024-03-20,8,1,NA,NA,NA,NA,NA,NA,NA,5.5,31,44,140,164,L3_reached,cyto_motion
,435,400-pulsed-40mW-control,2024-03-20,8,1,NA,NA,NA,NA,NA,NA,NA,5.5,31,47,155,176,L3_reached,cyto_motion
,436,400-pulsed-40mW-control,2024-03-20,9,1,NA,NA,NA,NA,NA,NA,NA,5.5,29,41,150,182,L3_reached,cyto_motion
,437,400-pulsed-40mW-control,2024-03-20,9,1,NA,NA,NA,NA,NA,NA,NA,5.5,35,51,162,183,L3_reached,cyto_motion
,438,400-pulsed-40mW-control,2024-03-20,10,1,NA,NA,NA,NA,NA,NA,NA,5.5,23,37,151,179,L3_reached,cyto_motion
,439,400-pulsed-40mW-control,2024-03-20,10,1,NA,NA,NA,NA,NA,NA,NA,5.5,24,37,151,171,L3_reached,cyto_motion
,440,400-pulsed-40mW-control,2024-03-20,11,1,NA,NA,NA,NA,NA,NA,NA,5.5,13,26,127,146,L3_reached,cyto_motion
,441,400-pulsed-40mW-control,2024-03-20,11,1,NA,NA,NA,NA,NA,NA,NA,5.5,24,39,135,162,L3_reached,cyto_motion
,442,400-pulsed-40mW-control,2024-03-20,12,1,NA,NA,NA,NA,NA,NA,NA,5.5,6,14,120,144,L3_reached,cyto_motion
,443,400-pulsed-40mW-control,2024-03-20,12,1,NA,NA,NA,NA,NA,NA,NA,5.5,28,41,145,167,L3_reached,cyto_motion
,444,400-pulsed-10mW-control,2024-06-19,1,1,NA,NA,NA,NA,NA,NA,NA,17.5,37,49,185,220,L3_reached,cyto_motion
,445,400-pulsed-10mW-control,2024-06-19,1,1,NA,NA,NA,NA,NA,NA,NA,17.5,57,80,195,220,L3_reached,cyto_motion
,446,400-pulsed-10mW-control,2024-06-19,1,1,NA,NA,NA,NA,NA,NA,NA,17.5,39,54,159,184,L3_reached,cyto_motion
,447,400-pulsed-10mW-control,2024-06-19,2,1,NA,NA,NA,NA,NA,NA,NA,17.5,42,60,170,202,L3_reached,cyto_motion
,448,400-pulsed-10mW-control,2024-06-19,2,1,NA,NA,NA,NA,NA,NA,NA,17.5,46,63,165,193,L3_reached,cyto_motion
,449,400-pulsed-10mW-control,2024-06-19,2,1,NA,NA,NA,NA,NA,NA,NA,17.5,52,67,176,195,L3_reached,cyto_motion
,450,400-pulsed-10mW-control,2024-06-19,2,1,NA,NA,NA,NA,NA,NA,NA,17.5,39,56,160,185,L3_reached,cyto_motion
,451,400-pulsed-10mW-control,2024-06-19,3,1,NA,NA,NA,NA,NA,NA,NA,17.5,41,57,172,202,L3_reached,cyto_motion
,452,400-pulsed-10mW-control,2024-06-19,3,1,NA,NA,NA,NA,NA,NA,NA,17.5,43,59,190,219,L3_reached,cyto_motion
,453,400-pulsed-10mW-control,2024-06-19,3,1,NA,NA,NA,NA,NA,NA,NA,17.5,43,59,200,NA,degenerated,cyto_motion
,454,400-pulsed-10mW-control,2024-06-19,4,1,NA,NA,NA,NA,NA,NA,NA,17.5,47,66,188,215,L3_reached,cyto_motion
,455,400-pulsed-10mW-control,2024-06-19,4,1,NA,NA,NA,NA,NA,NA,NA,17.5,39,54,155,180,L3_reached,cyto_motion
,456,400-pulsed-10mW-control,2024-06-19,4,1,NA,NA,NA,NA,NA,NA,NA,17.5,64,85,200,232,L3_reached,cyto_motion
,457,400-pulsed-10mW-control,2024-06-19,4,1,NA,NA,NA,NA,NA,NA,NA,17.5,41,54,160,180,L3_reached,cyto_motion
,458,400-pulsed-10mW-control,2024-06-19,5,1,NA,NA,NA,NA,NA,NA,NA,17.5,46,56,160,179,degenerated,cyto_motion
,459,400-pulsed-10mW-control,2024-06-19,5,1,NA,NA,NA,NA,NA,NA,NA,17.5,41,60,153,170,L3_reached,cyto_motion
,460,400-pulsed-10mW-control,2024-06-19,5,1,NA,NA,NA,NA,NA,NA,NA,17.5,44,58,170,190,L3_reached,cyto_motion
,461,400-pulsed-10mW-control,2024-06-19,6,1,NA,NA,NA,NA,NA,NA,NA,17.5,33,50,162,187,L3_reached,cyto_motion
,462,400-pulsed-10mW-control,2024-06-19,6,1,NA,NA,NA,NA,NA,NA,NA,17.5,47,64,162,185,L3_reached,cyto_motion
,463,400-pulsed-10mW-control,2024-06-19,6,1,NA,NA,NA,NA,NA,NA,NA,17.5,46,57,162,182,L3_reached,cyto_motion
,464,400-pulsed-10mW-control,2024-06-19,6,1,NA,NA,NA,NA,NA,NA,NA,17.5,39,61,162,191,L3_reached,cyto_motion
,465,400-pulsed-10mW-control,2024-06-19,7,1,NA,NA,NA,NA,NA,NA,NA,17.5,40,54,150,167,L3_reached,cyto_motion
,466,400-pulsed-10mW-control,2024-06-19,7,1,NA,NA,NA,NA,NA,NA,NA,17.5,35,48,157,178,L3_reached,cyto_motion
,467,400-pulsed-10mW-control,2024-06-19,7,1,NA,NA,NA,NA,NA,NA,NA,17.5,47,76,169,200,L3_reached,cyto_motion
,468,400-pulsed-10mW-control,2024-06-19,9,1,NA,NA,NA,NA,NA,NA,NA,17.5,45,59,170,195,L3_reached,cyto_motion
,469,400-pulsed-10mW-control,2024-06-19,9,1,NA,NA,NA,NA,NA,NA,NA,17.5,35,50,166,192,L3_reached,cyto_motion
,470,400-pulsed-10mW-control,2024-06-19,9,1,NA,NA,NA,NA,NA,NA,NA,17.5,45,62,195,220,L3_reached,cyto_motion
,471,400-pulsed-10mW-control,2024-06-19,10,1,NA,NA,NA,NA,NA,NA,NA,17.5,61,87,193,220,L3_reached,cyto_motion
,472,400-pulsed-10mW-control,2024-06-19,10,1,NA,NA,NA,NA,NA,NA,NA,17.5,54,70,160,185,L3_reached,cyto_motion
,473,400-pulsed-10mW-control,2024-06-19,10,1,NA,NA,NA,NA,NA,NA,NA,17.5,45,60,150,170,L3_reached,cyto_motion
,474,400-pulsed-10mW-control,2024-06-19,11,1,NA,NA,NA,NA,NA,NA,NA,17.5,46,62,152,193,L3_reached,cyto_motion
,475,400-pulsed-10mW-control,2024-06-19,11,1,NA,NA,NA,NA,NA,NA,NA,17.5,46,62,152,173,L3_reached,cyto_motion
,476,400-pulsed-10mW-control,2024-06-19,11,1,NA,NA,NA,NA,NA,NA,NA,17.5,27,39,137,160,L3_reached,cyto_motion
,477,400-pulsed-10mW-control,2024-06-19,12,1,NA,NA,NA,NA,NA,NA,NA,17.5,47,65,172,194,L3_reached,cyto_motion
,478,400-pulsed-10mW-control,2024-06-19,12,1,NA,NA,NA,NA,NA,NA,NA,17.5,41,55,156,180,L3_reached,cyto_motion
,479,400-pulsed-10mW-control,2024-06-19,12,1,NA,NA,NA,NA,NA,NA,NA,17.5,56,70,183,207,L3_reached,cyto_motion
,480,800-cw-330mW-120s,2024-07-17,1,0,laser,800,cw,330,0.105,120,12.600,42.3,78,95,232,NA,degenerated,cyto_motion
,481,800-cw-330mW-120s,2024-07-17,2,0,laser,800,cw,330,0.105,120,12.600,42.3,71,86,185,219,L3_reached,cyto_motion
,482,800-cw-330mW-120s,2024-07-17,3,0,laser,800,cw,330,0.105,120,12.600,42.3,67.2,79.5,175,196.7,L3_reached,cyto_motion
,483,800-cw-330mW-120s,2024-07-17,3,0,laser,800,cw,330,0.105,120,12.600,42.3,97,113.5,225,257,L3_reached,cyto_motion
,484,800-cw-330mW-120s,2024-07-17,4,0,laser,800,cw,330,0.105,120,12.600,42.3,69.2,85,218,246,degenerated,cyto_motion
,485,800-cw-330mW-120s,2024-07-17,4,0,laser,800,cw,330,0.105,120,12.600,42.3,67.6,82,194,228,L3_reached,cyto_motion
,486,800-cw-330mW-120s,2024-07-17,5,0,laser,800,cw,330,0.105,120,12.600,42.3,60,71,164,194,L3_reached,cyto_motion
,487,800-cw-330mW-120s,2024-07-17,6,0,laser,800,cw,330,0.105,120,12.600,42.3,70,86,200,233,L3_reached,cyto_motion
,488,800-cw-330mW-120s,2024-07-17,7,0,laser,800,cw,330,0.105,120,12.600,42.3,72,88.6,197,224,L3_reached,cyto_motion
,489,800-cw-330mW-120s,2024-07-17,8,0,laser,800,cw,330,0.105,120,12.600,42.3,62,77.3,181,205,L3_reached,cyto_motion
,490,800-cw-330mW-120s,2024-07-17,8,0,laser,800,cw,330,0.105,120,12.600,42.3,75.2,91.7,207,239,L3_reached,cyto_motion
,491,800-cw-330mW-120s,2024-07-17,9,0,laser,800,cw,330,0.105,120,12.600,42.3,63.1,75.1,164,189.5,L3_reached,cyto_motion
,492,800-cw-330mW-120s,2024-07-17,10,0,laser,800,cw,330,0.105,120,12.600,42.3,66.7,85.7,198,224.3,L3_reached,cyto_motion
,493,800-cw-330mW-120s,2024-07-17,11,0,laser,800,cw,330,0.105,120,12.600,42.3,71.3,88.2,184,211,L3_reached,cyto_motion
,494,800-cw-330mW-120s,2024-07-17,12,0,laser,800,cw,330,0.105,120,12.600,42.3,61,75.7,206,245,L3_reached,cyto_motion
