epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,19609.1,0.51938,0.38199,0.86487,0.8767,0.87545,0.92713,0.83969,0.47775,0.29865,0.84121,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,20211.4,0.5182,0.37289,0.86381,0.89733,0.8534,0.92622,0.83999,0.47596,0.29681,0.841,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,20816.1,0.51265,0.37184,0.86266,0.89245,0.86004,0.92754,0.84283,0.47588,0.2967,0.84082,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,21420.5,0.51104,0.36719,0.86385,0.89768,0.86197,0.92637,0.84234,0.47601,0.29501,0.84092,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,22024.2,0.50975,0.36274,0.862,0.8933,0.86528,0.92711,0.84286,0.47442,0.29446,0.84064,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,22629.8,0.50997,0.3605,0.86144,0.89637,0.8648,0.92601,0.84292,0.47526,0.2958,0.8408,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,23233.8,0.50916,0.3595,0.86134,0.89247,0.8632,0.92201,0.83923,0.4758,0.29411,0.84089,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,23839.3,0.50596,0.35311,0.85883,0.88478,0.86618,0.92061,0.83786,0.47543,0.29545,0.84074,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,24444.1,0.51021,0.35778,0.86137,0.89382,0.85586,0.9196,0.83561,0.47533,0.29461,0.84069,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,25047.1,0.50796,0.35799,0.86,0.89595,0.85527,0.92004,0.83626,0.47596,0.29467,0.84068,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,25651.3,0.50912,0.353,0.86078,0.88934,0.8614,0.92099,0.83678,0.47478,0.29382,0.84049,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,26253.9,0.50462,0.35006,0.85895,0.88825,0.8679,0.92177,0.83831,0.47423,0.29366,0.8404,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,26855.3,0.50063,0.34582,0.86092,0.88418,0.8697,0.92219,0.83785,0.47356,0.29414,0.84036,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,27457.8,0.50311,0.34693,0.8598,0.87975,0.86942,0.92289,0.83925,0.47316,0.2936,0.8402,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,28062.9,0.4998,0.3414,0.85909,0.88132,0.86944,0.92381,0.8395,0.47301,0.29212,0.84017,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,28666.2,0.50629,0.349,0.86052,0.87906,0.87121,0.92464,0.84025,0.47281,0.29227,0.84013,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,29289.8,0.49754,0.33456,0.85683,0.8811,0.8724,0.92476,0.84002,0.47231,0.29226,0.8401,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,29891.9,0.49779,0.33776,0.85881,0.87803,0.87346,0.92448,0.83988,0.47254,0.29206,0.84009,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,30495.8,0.49973,0.33609,0.85771,0.87763,0.87165,0.925,0.8398,0.47239,0.29197,0.84001,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,31099.2,0.49897,0.33889,0.85837,0.87708,0.87138,0.92521,0.84042,0.47226,0.29212,0.84005,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,31702.6,0.49826,0.33222,0.85823,0.8788,0.87182,0.92582,0.84087,0.472,0.29229,0.83995,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,32306.4,0.49445,0.33331,0.858,0.87389,0.87289,0.92641,0.84155,0.47213,0.29201,0.83997,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,32909.1,0.49113,0.32855,0.85601,0.87215,0.87575,0.9262,0.84112,0.47224,0.29176,0.83995,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,33513.3,0.4918,0.32695,0.85806,0.87916,0.8631,0.92617,0.84142,0.47187,0.29178,0.83989,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,34116.8,0.49058,0.32969,0.85619,0.86451,0.87604,0.92621,0.84166,0.47171,0.29163,0.83986,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,34722.5,0.48775,0.32794,0.8579,0.86438,0.87546,0.92595,0.84156,0.47161,0.2916,0.83989,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
