Comparison,Log-rank chi2,p_raw,p_bonf,significant_alpha_0_005,sig,n_group1,n_group2,n_events_group1,n_events_group2
Overall (all curves),159.9298014410972,1.89792978639543e-34,,True,***,,,,
800-pulsed-330mW-120s vs. 800-pulsed-330mW-60s,48.69108162848692,2.9962582991921247e-12,1.7977549795152747e-11,True,***,24.0,31.0,23.0,6.0
800-pulsed-330mW-120s vs. 800-cw-330mW-120s,39.402949936381724,3.447757215569475e-10,2.068654329341685e-09,True,***,24.0,22.0,23.0,1.0
800-pulsed-330mW-60s vs. 800-cw-330mW-120s,2.298013934349736,0.12953954173134336,0.7772372503880601,False,ns,31.0,22.0,6.0,1.0
800-pulsed-330mW-120s vs. Control (pooled),119.74383814892595,7.198057494339282e-28,4.31883449660357e-27,True,***,24.0,97.0,23.0,15.0
800-pulsed-330mW-60s vs. Control (pooled),0.25043685503252444,0.6167676422655617,1.0,False,ns,31.0,97.0,6.0,15.0
800-cw-330mW-120s vs. Control (pooled),1.6850073002454697,0.19426042659034795,1.0,False,ns,22.0,97.0,1.0,15.0
