Comparison,Log-rank chi2,p_raw,p_bonf,significant_alpha_0_005,sig,n_group1,n_group2,n_events_group1,n_events_group2
800-pulsed-330mW-120s vs. 800-pulsed-330mW-60s,48.69108162848692,2.9962582991921247e-12,1.7977549795152747e-11,True,***,24.0,31.0,23.0,6.0
800-pulsed-330mW-120s vs. 800-cw-330mW-120s,39.402949936381724,3.447757215569475e-10,2.068654329341685e-09,True,***,24.0,22.0,23.0,1.0
800-pulsed-330mW-120s vs. Control (pooled),119.74383814892595,7.198057494339282e-28,4.31883449660357e-27,True,***,24.0,97.0,23.0,15.0
