egg_uid,analysis_group,duration_h,event_observed,dt_motion_stop_h,t_motion_stop_h,death_mode,flags
576,Control (pooled),596.0,1,596.0,614.0,uncertain,
577,Control (pooled),700.0,0,,,,
578,Control (pooled),700.0,0,,,,
579,Control (pooled),700.0,0,,,,
580,Control (pooled),700.0,0,,,,
581,Control (pooled),700.0,0,,,,
582,Control (pooled),700.0,0,,,,
583,Control (pooled),700.0,0,,,,
584,Control (pooled),700.0,0,,,,
585,Control (pooled),469.0,1,469.0,487.0,uncertain,death_after_hatch
586,Control (pooled),100.0,1,100.0,118.0,necrotic_like,
587,Control (pooled),579.0,1,579.0,597.0,necrotic_like,
588,Control (pooled),700.0,0,,,,
589,Control (pooled),71.5,1,71.5,89.5,necrotic_like,
590,Control (pooled),700.0,0,,,,
488,800-pulsed-330mW-120s,68.4,1,68.4,83.4,necrotic_like,
489,800-pulsed-330mW-120s,95.0,1,95.0,110.0,uncertain,death_after_hatch
490,800-pulsed-330mW-120s,162.0,1,162.0,177.0,necrotic_like,
491,800-pulsed-330mW-120s,507.0,1,507.0,522.0,necrotic_like,
492,800-pulsed-330mW-120s,0.0,1,0.0,15.0,uncertain,death_after_hatch
493,800-pulsed-330mW-120s,700.0,0,,,,
494,800-pulsed-330mW-120s,510.0,1,510.0,525.0,necrotic_like,
495,800-pulsed-330mW-120s,510.0,1,510.0,525.0,necrotic_like,
496,800-pulsed-330mW-120s,264.0,1,264.0,279.0,uncertain,death_after_hatch
497,800-pulsed-330mW-120s,278.0,1,278.0,293.0,uncertain,death_after_hatch
498,800-pulsed-330mW-120s,279.6,1,279.6,294.6,necrotic_like,
499,800-pulsed-330mW-120s,288.0,1,288.0,303.0,necrotic_like,
500,800-pulsed-330mW-120s,149.0,1,149.0,164.0,necrotic_like,
501,800-pulsed-330mW-120s,342.0,1,342.0,357.0,necrotic_like,
502,800-pulsed-330mW-120s,151.0,1,151.0,166.0,necrotic_like,
503,800-pulsed-330mW-120s,444.0,1,444.0,459.0,necrotic_like,
504,800-pulsed-330mW-120s,125.0,1,125.0,140.0,necrotic_like,
505,800-pulsed-330mW-120s,286.0,1,286.0,301.0,apoptotic_like,
506,800-pulsed-330mW-120s,80.0,1,80.0,95.0,apoptotic_like,
507,800-pulsed-330mW-120s,425.0,1,425.0,440.0,necrotic_like,
508,800-pulsed-330mW-120s,365.0,1,365.0,380.0,necrotic_like,
509,800-pulsed-330mW-120s,498.0,1,498.0,513.0,necrotic_like,
510,800-pulsed-330mW-120s,109.0,1,109.0,124.0,necrotic_like,
511,800-pulsed-330mW-120s,361.0,1,361.0,376.0,necrotic_like,
535,800-pulsed-330mW-60s,700.0,0,,,,
536,800-pulsed-330mW-60s,700.0,0,,,,
537,800-pulsed-330mW-60s,700.0,0,,,,
538,800-pulsed-330mW-60s,700.0,0,,,,
539,800-pulsed-330mW-60s,700.0,0,,,,
540,800-pulsed-330mW-60s,498.3,1,498.3,517.0,necrotic_like,
541,800-pulsed-330mW-60s,465.3,1,465.3,484.0,uncertain,
542,800-pulsed-330mW-60s,700.0,0,,,,
543,800-pulsed-330mW-60s,0.0,1,0.0,18.7,uncertain,
544,800-pulsed-330mW-60s,615.3,1,615.3,634.0,uncertain,
545,800-pulsed-330mW-60s,700.0,0,,,,
546,800-pulsed-330mW-60s,667.3,1,667.3,686.0,uncertain,
547,800-pulsed-330mW-60s,700.0,0,,,,
548,800-pulsed-330mW-60s,700.0,0,,,,
549,800-pulsed-330mW-60s,700.0,0,,,,
550,800-pulsed-330mW-60s,700.0,0,,,,
551,800-pulsed-330mW-60s,700.0,0,,,,
552,800-pulsed-330mW-60s,700.0,0,,,,
553,800-pulsed-330mW-60s,700.0,0,,,,
554,800-pulsed-330mW-60s,700.0,0,,,,
556,800-pulsed-330mW-60s,700.0,0,,,,
557,800-pulsed-330mW-60s,700.0,0,,,,
558,800-pulsed-330mW-60s,700.0,0,,,,
559,800-pulsed-330mW-60s,700.0,0,,,,
560,800-pulsed-330mW-60s,700.0,0,,,,
561,800-pulsed-330mW-60s,700.0,0,,,,
562,800-pulsed-330mW-60s,700.0,0,,,,
563,800-pulsed-330mW-60s,700.0,0,,,,
564,800-pulsed-330mW-60s,700.0,0,,,,
565,800-pulsed-330mW-60s,700.0,0,,,,
566,800-pulsed-330mW-60s,528.3,1,528.3,547.0,necrotic_like,
513,800-cw-330mW-120s,700.0,0,,,,
514,800-cw-330mW-120s,700.0,0,,,,
515,800-cw-330mW-120s,700.0,0,,,,
516,800-cw-330mW-120s,700.0,0,,,,
517,800-cw-330mW-120s,700.0,0,,,,
518,800-cw-330mW-120s,700.0,0,,,,
519,800-cw-330mW-120s,700.0,0,,,,
520,800-cw-330mW-120s,700.0,0,,,,
521,800-cw-330mW-120s,31.0,1,31.0,48.0,necrotic_like,
522,800-cw-330mW-120s,700.0,0,,,,
523,800-cw-330mW-120s,700.0,0,,,,
524,800-cw-330mW-120s,700.0,0,,,,
525,800-cw-330mW-120s,700.0,0,,,,
526,800-cw-330mW-120s,700.0,0,,,,
527,800-cw-330mW-120s,700.0,0,,,,
528,800-cw-330mW-120s,700.0,0,,,,
529,800-cw-330mW-120s,700.0,0,,,,
530,800-cw-330mW-120s,700.0,0,,,,
531,800-cw-330mW-120s,700.0,0,,,,
532,800-cw-330mW-120s,700.0,0,,,,
533,800-cw-330mW-120s,700.0,0,,,,
534,800-cw-330mW-120s,700.0,0,,,,
