stage,comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,sd_diff_indep_h,p_holm,sig
2-cell,shg_10mW_2s vs pooled_control,21,93,78.5,26.599999999999998,-51.900000000000006,101.21428571428571,27.446236559139784,-73.76804915514592,68.02289530528884,7.999898900716956,68.49169780444912,6.982646125848453e-12,***
4-cell,shg_10mW_2s vs pooled_control,18,93,102.0,42.5,-59.5,136.72222222222223,42.979569892473116,-93.74265232974912,99.865530504807,9.943280002308146,100.35931944872304,1.2476452580862634e-10,***
Bean,shg_10mW_2s vs pooled_control,17,93,252.5,156.5,-96.0,271.1470588235294,155.28602150537634,-115.86103731815305,102.65107231324387,16.935707013378888,104.03874672016111,1.7164808762174675e-09,***
Motion,shg_10mW_2s vs pooled_control,16,93,279.0,177.20000000000002,-101.79999999999998,310.6875,177.53333333333336,-133.15416666666664,105.3832489851526,16.93164860956195,106.73476421159297,5.189995467860994e-10,***
