delta_group,comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,sd_diff_indep_h,p_holm,sig
delta_2c_4c,shg_10mW_2s vs pooled_control,18,93,33.0,15.0,-18.0,42.833333333333336,15.533333333333335,-27.3,36.116233925219504,3.902071170582343,36.32641617833317,1.5062039505169222e-09,***
delta_4c_bean,shg_10mW_2s vs pooled_control,17,93,143.0,111.0,-32.0,151.64705882352942,112.30645161290325,-39.340607210626175,40.964834273542756,12.95759644958704,42.965299403229736,0.001139207197504911,**
delta_bean_move,shg_10mW_2s vs pooled_control,16,93,32.5,21.0,-11.5,32.9375,22.247311827956988,-10.690188172043012,9.726038933365079,5.45197593613803,11.14988228375356,1.7518684466981373e-06,***
