treatment,n_total_excluding_no_larvae,n_death_after_hatch,pct_death_after_hatch
400-SHG-10mW-5s,36,11,30.6
400-SHG-10mW-10s,36,8,22.2
400-SHG-15mW-5s,38,1,2.6
400-SHG-15mW-10s,38,0,0.0
400-SHG-20mW-10s,37,0,0.0
400-SHG-30mW-5s,39,0,0.0
400-SHG-30mW-10s,40,0,0.0
400-SHG-40mW-5s,36,0,0.0
400-SHG-40mW-10s,38,0,0.0
400-SHG-40mW-30s,40,0,0.0
