Treatment,n_total,n_still_moving,% still moving
Control (pooled),97,82,84.5
400-SHG-10mW-5s,36,7,19.4
400-SHG-10mW-10s,36,5,13.9
400-SHG-15mW-5s,38,1,2.6
400-SHG-15mW-10s,38,0,0.0
400-SHG-20mW-10s,37,0,0.0
400-SHG-30mW-5s,39,0,0.0
400-SHG-30mW-10s,40,0,0.0
400-SHG-40mW-5s,36,0,0.0
400-SHG-40mW-10s,38,0,0.0
400-SHG-40mW-30s,40,0,0.0
