group,n_stopped_in_egg,shapiro_W,shapiro_p,normal_by_shapiro_p_gt_0_05,note
Control (pooled),6,0.7293070561319739,0.012402983902815383,False,
400-SHG-10mW-5s,18,0.9476064290952827,0.3887138452853414,True,
400-SHG-10mW-10s,23,0.9193131772464995,0.06440284685415003,True,
400-SHG-15mW-5s,36,0.8878169740265153,0.0016111853177724997,False,
400-SHG-15mW-10s,38,0.7774017704956246,3.7400509611894824e-06,False,
